FORPO05_TRIPS_D,FORPO05_TRIPS_ID_N,FORPO05_TRIP_TYPE,FORPC26_BUSINESS_MASTER_D,FORPC21_BRANCH_D,FORPC03_COMPANY_CLIENT_CONFIG_D,FORPO05_TRIP_SOURCE_D,FORPO05_TRIP_DESTINATION_D,FORPU01_D_USER_MASTER_D,FORPF02_VEHICLE_MASTER_D,FORPO05_ACTUAL_START_TIME_M,FORPO05_ACTUAL_END_TIME_M,FORPO05_CANCEL_REASONS_D,FORPO05_REASON_X,FORPO05_TRIP_STATUS_F,FORPO05_CREATE_S,FORPO05_LAST_UPDT_S,FORPO05_CREATE_USER_C,FORPO05_LAST_UPDT_USER_C,FORPO05_CREATED_USR_TYPE,FORPO05_UPDATED_USR_TYPE,FORPO05_SOURCE_ADDRESS,FORPO05_DESTINATION_ADDRESS,FORPU80_ESCORT_D,FORPO05_CLIENT_BILL_STATUS,FORPO05_VENDOR_BILL_STATUS,FORPO05_VEHICLE_ADDRESS,FORPU80_VEHICLE_LOCATION,FORPO03_RIDER_GENDER,FORPO05_IS_ESCORT_TRIP
1,8470E366-9C38-EC11-981F-0050F2AD1035,UPFLEAT,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419255,79433,00:00.0,00:00.0,0,,SCHEDULED,41:34.4,41:34.4,255,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
2,33D2EE8A-B038-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419255,79433,00:00.0,00:00.0,0,,SCHEDULED,05:44.8,05:44.8,255,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
3,B1D87946-ED3A-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419269,5108,00:00.0,00:00.0,0,,SCHEDULED,25:31.6,25:31.6,255,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
4,E3994FE4-F23A-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419222,79222,00:00.0,00:00.0,0,,SCHEDULED,05:43.8,05:43.8,255,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
5,B25D3F35-F53A-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419450,79222,00:00.0,00:00.0,0,,SCHEDULED,22:18.6,22:18.6,255,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
6,0D06121A-FC3A-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419450,79222,00:00.0,00:00.0,0,,SCHEDULED,11:39.5,11:39.5,39,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
7,2B04DF18-AC3B-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010D847DE0CF95192A40C65E398C930D54400000000000E6B040,0xE6100000010DEC9EE17261152A409D91521AFB0E54400000000000E6B040,419206,79400,00:00.0,00:00.0,0,,SCHEDULED,11:28.9,11:28.9,39,0,ADMIN,ADMIN,"Vadapalani, Chennai, Tamil Nadu - ","T. Nagar, Chennai, Tamil Nadu - ",NULL,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
8,6B7902F0-AD3B-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010DC5749D2ED72B2A40BEC11732C01054400000000000E6B040,0xE6100000010D152A7D681E2C2A40BEC1174A101254400000000000E6B040,419246,79427,22:00.0,22:00.0,0,,SCHEDULED,24:39.4,24:39.4,39,0,ADMIN,ADMIN,"Periyamet, Chennai, Tamil Nadu - 600007","George Town, Chennai, Tamil Nadu - 600001",NULL,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
9,B46744FF-B23B-EC11-981F-0050F2AD1035,UPFLEET,1,1,3,0xE6100000010DEE84884EE1152A40BEC11776F60E54400000000000E6B040,0xE6100000010DE7D305E8152A2A40BEC117568B1254400000000000E6B040,419202,79402,00:00.0,00:00.0,0,,SCHEDULED,00:52.5,00:52.5,39,0,ADMIN,ADMIN,"T. Nagar, Chennai, Tamil Nadu - 600017","Chennai Port Trust, Chennai, Tamil Nadu - 600001",NULL,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
10,F766718A-494C-EC11-981F-0050F2AD1B76,UPFLEET,NULL,174,361,0xE6100000010DBD7026225D2A2A40BEC117BAB01054400000000000E6B040,0xE6100000010DD41D5C2BBF262A40BEC117E6551254400000000000E6B040,419255,79433,07:00.0,07:00.0,0,,SCHEDULED,38:49.1,38:49.1,408,0,ADMIN,ADMIN,"64, East VK Sampath Road, Periyamet, Chennai, Tamil Nadu,  - 600007","Fort Saint George, Chennai, Tamil Nadu,  - 600009",45,BILL_PENDING,BILL_PENDING,NULL,NULL,NULL,NULL
